rank,h3_index,city,tier,opportunity_score,lat,lon,h3_cell_acres,project_acres,dist_to_center_km,property_type,land_value_current,total_dev_cost,equity_required,buildable_sqft,noi_year1,noi_year5,stabilised_value,exit_value_yr5,exit_cap_rate,est_irr_pct,equity_multiple,value_uplift
97,8848e96239fffff,phoenix,Tier 1 � Top 10%,0.6501,33.214,-112.3131,211.0,24.2,34.2,unknown,818468,84859236,29700733,421661,5097879,5909839,94405168,109441464,0.054,13.98,2.83,108622996
98,8848ebac1dfffff,phoenix,Tier 1 � Top 10%,0.6501,33.5004,-111.775,210.9,20.6,28.3,unknown,748007,72235548,25282442,358934,4339517,5030689,80361424,93160915,0.054,13.98,2.83,92412909
99,8848e96d4bfffff,phoenix,Tier 1 � Top 10%,0.65,33.4073,-112.2151,210.8,11.2,13.9,unknown,559922,39273696,13745794,195149,2359349,2735132,43691648,50650595,0.054,13.98,2.83,50090673
100,8848ebad39fffff,phoenix,Tier 1 � Top 10%,0.65,33.5205,-111.6861,210.9,25.8,36.9,unknown,870286,90469764,31664417,449539,5434929,6300572,100646832,116677263,0.054,13.98,2.83,115806977
101,8848ebadc5fffff,phoenix,Tier 1 � Top 10%,0.65,33.5312,-111.721,210.8,24.0,34.0,unknown,811896,84157920,29455272,418176,5055748,5860997,93624960,108536989,0.054,13.98,2.83,107725093
102,8848ebb5c1fffff,phoenix,Tier 1 � Top 10%,0.65,33.2863,-111.9135,211.1,17.5,23.4,unknown,2156665,61365150,21477802,304920,3686483,4273644,68268200,79141554,0.054,13.98,2.83,76984889
103,8848e96165fffff,phoenix,Tier 1 � Top 10%,0.65,33.2572,-112.1746,211.0,17.4,23.2,unknown,595010,61014492,21355072,303178,3665417,4249223,67878096,78689317,0.054,13.98,2.83,78094307
104,8848ebad31fffff,phoenix,Tier 1 � Top 10%,0.6498,33.5288,-111.6823,210.9,26.1,37.4,unknown,879935,91521738,32032608,454766,5498126,6373835,101817144,118033975,0.054,13.98,2.83,117154040
105,8829b6c1a5fffff,phoenix,Tier 1 � Top 10%,0.6496,33.7365,-112.0341,210.3,23.0,32.3,unknown,779424,80651340,28227969,400752,4845092,5616789,89723920,104014614,0.054,13.98,2.83,103235190
106,8848eb26ddfffff,phoenix,Tier 1 � Top 10%,0.6496,33.7951,-111.8377,210.3,30.1,44.3,unknown,1007778,105548058,36941820,524462,6340750,7350668,117421304,136123473,0.054,13.98,2.83,135115695
107,8848e978a7fffff,phoenix,Tier 1 � Top 10%,0.6496,33.2397,-112.1331,211.1,17.8,23.8,unknown,608297,62417124,21845993,310147,3749680,4346906,69438512,80498267,0.054,13.98,2.83,79889970
108,8848ebb1a3fffff,phoenix,Tier 1 � Top 10%,0.6496,33.2424,-111.7253,211.3,27.4,39.7,unknown,1274155,96080292,33628102,477418,5771979,6691305,106888496,123913062,0.054,13.98,2.83,122638907
109,8829b6c43dfffff,phoenix,Tier 1 � Top 10%,0.6493,33.7669,-112.2589,210.1,27.2,39.3,unknown,915253,95378976,33382642,473933,5729848,6642464,106108288,123008587,0.054,13.98,2.83,122093335
110,8848eb36d3fffff,phoenix,Tier 1 � Top 10%,0.6493,33.6446,-111.8576,210.6,21.4,29.6,unknown,727108,75040812,26264284,372874,4508042,5226056,83482256,96778815,0.054,13.98,2.83,96051707
111,8848ebb6c7fffff,phoenix,Tier 1 � Top 10%,0.6493,33.2258,-112.0106,211.2,18.8,25.4,unknown,641456,65923704,23073296,327571,3960336,4591115,73339552,85020641,0.054,13.98,2.83,84379185
112,8848e9622bfffff,phoenix,Tier 1 � Top 10%,0.6493,33.2087,-112.2957,211.1,23.9,33.7,unknown,808752,83807262,29332542,416434,5034682,5836577,93234856,108084751,0.054,13.98,2.83,107275999
113,8829b6cf21fffff,phoenix,Tier 1 � Top 10%,0.6493,33.7933,-112.0179,210.2,26.8,38.7,unknown,902356,93976344,32891720,466963,5645585,6544780,104547872,121199638,0.054,13.98,2.83,120297282
114,8848eba6c9fffff,phoenix,Tier 1 � Top 10%,0.6492,33.3737,-112.0122,210.9,8.6,10.1,unknown,914472,30156588,10554806,149846,1811643,2100191,33548944,38892421,0.054,13.98,2.83,37977949
