rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier
739,88489e25edfffff,0.5838,207.7,23.6,residential,121312,9,30.4726,-97.6821,Tier 2 — Top 25%
740,88489eaed5fffff,0.5836,208.4,22.5,NaN,0,0,30.1025,-97.8782,Tier 2 — Top 25%
741,8848985a4bfffff,0.5834,207.8,28.6,NaN,0,0,30.5239,-97.7622,Tier 2 — Top 25%
742,88489e2e9bfffff,0.5832,207.7,28.1,NaN,0,0,30.5116,-97.6692,Tier 2 — Top 25%
743,884898c8adfffff,0.5831,208.2,25.4,residential,48743,9,30.4332,-97.9254,Tier 2 — Top 25%
744,88489eac59fffff,0.5831,208.3,20.4,NaN,0,0,30.0968,-97.8217,Tier 2 — Top 25%
745,8848985a53fffff,0.5830,207.8,31.2,NaN,0,0,30.5465,-97.7791,Tier 2 — Top 25%
746,88489e22ddfffff,0.5829,207.9,8.1,residential,236658,9,30.3181,-97.6825,Tier 2 — Top 25%
747,88489e24a9fffff,0.5829,207.8,25.2,residential,79551,9,30.4931,-97.7602,Tier 2 — Top 25%
748,88489e2e83fffff,0.5828,207.6,28.1,NaN,0,0,30.5048,-97.6432,Tier 2 — Top 25%
749,88489e3595fffff,0.5827,208.0,8.9,residential,196575,9,30.3468,-97.7457,Tier 2 — Top 25%
750,884898d96dfffff,0.5826,208.3,12.4,residential,80312,9,30.1965,-97.8435,Tier 2 — Top 25%
751,884898c81bfffff,0.5826,208.2,24.2,residential,48803,9,30.3937,-97.9485,Tier 2 — Top 25%
752,88489e20b5fffff,0.5826,207.7,20.2,vacant,93339,0,30.4130,-97.6169,Tier 2 — Top 25%
753,88489e3b37fffff,0.5822,207.5,34.0,NaN,0,0,30.2119,-97.3951,Tier 2 — Top 25%
754,88489e30c7fffff,0.5822,208.0,10.5,commercial,130248,16,30.2109,-97.6553,Tier 2 — Top 25%
755,884898c9ebfffff,0.5821,208.1,21.1,residential,48957,9,30.4196,-97.8733,Tier 2 — Top 25%
756,88489e274dfffff,0.5820,207.9,10.7,residential,237469,9,30.3561,-97.7003,Tier 2 — Top 25%
757,884898d8e9fffff,0.5818,208.4,21.4,vacant,48941,0,30.2463,-97.9644,Tier 2 — Top 25%
758,884898db29fffff,0.5818,208.4,17.6,residential,49127,9,30.1642,-97.8823,Tier 2 — Top 25%
759,88489e3053fffff,0.5818,208.0,14.0,open_space,54966,0,30.1725,-97.6478,Tier 2 — Top 25%
760,88489e32adfffff,0.5817,208.0,13.4,open_space,63720,0,30.1722,-97.6580,Tier 2 — Top 25%
761,88489e24b9fffff,0.5817,207.9,27.0,open_space,119025,0,30.5078,-97.7817,Tier 2 — Top 25%
762,88489e35edfffff,0.5817,207.9,5.8,residential,420799,9,30.3095,-97.7076,Tier 2 — Top 25%
763,884898d90dfffff,0.5815,208.3,13.3,residential,65556,9,30.2112,-97.8649,Tier 2 — Top 25%
764,88489e2529fffff,0.5814,207.7,21.5,residential,133860,9,30.4428,-97.6495,Tier 2 — Top 25%
765,88489e3061fffff,0.5814,207.9,18.6,residential,49079,9,30.1588,-97.5959,Tier 2 — Top 25%
