rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier,developable,developable_frac,exclusion_reasons,feature_completeness,boundary_dist_km,boundary_rings,edge_flagged,score_raw
176,88489ead9dfffff,0.8149847094801224,208.2,10.6,commercial,125951,16,30.1758,-97.7757,Tier 2 — Top 25%,True,1.0,,1.0,8.438055999999714,9,False,0.6651
177,88489e3a07fffff,0.8126911314984709,207.7,27.7,,0,0,30.1863,-97.47,Tier 2 — Top 25%,True,1.0,,1.0,6.735712021899778,7,False,0.6644
178,88489e3769fffff,0.8126911314984709,208.1,8.0,industrial,245949,12,30.2012,-97.7109,Tier 2 — Top 25%,True,1.0,,1.0,11.265583999999846,12,False,0.6644
179,88489e329dfffff,0.8103975535168195,208.1,10.6,vacant,128225,0,30.1783,-97.7043,Tier 2 — Top 25%,True,1.0,,1.0,8.716355999999855,9,False,0.6642
180,88489e2423fffff,0.808868501529052,207.8,21.1,vacant,208371,0,30.4558,-97.722,Tier 2 — Top 25%,True,1.0,,1.0,21.618343999999844,23,False,0.664
181,88489e3649fffff,0.8073394495412844,208.2,10.6,residential,128463,9,30.1901,-97.8073,Tier 2 — Top 25%,True,1.0,,1.0,10.029931999999958,10,False,0.6638
182,88489e3765fffff,0.8058103975535168,208.0,7.8,residential,252993,9,30.2095,-97.6961,Tier 2 — Top 25%,True,0.6335,airport,1.0,12.18953999999967,13,False,0.6636
183,88489e2207fffff,0.8042813455657493,207.8,12.1,vacant,86672,0,30.2894,-97.6194,Tier 2 — Top 25%,True,1.0,,1.0,21.0840079999999,22,False,0.663
184,88489e36c9fffff,0.8027522935779816,208.2,10.3,residential,137363,9,30.2428,-97.8465,Tier 2 — Top 25%,True,1.0,,1.0,12.83859019124294,13,False,0.6629
185,88489eaca5fffff,0.8012232415902141,208.2,11.4,residential,103017,9,30.175,-97.7961,Tier 2 — Top 25%,True,1.0,,1.0,8.34899999999992,9,False,0.6622
188,88489ead97fffff,0.7996941896024465,208.2,9.0,residential,187512,9,30.1912,-97.7767,Tier 2 — Top 25%,True,1.0,,1.0,10.152383999999673,11,False,0.6609
189,88489e22c3fffff,0.7981651376146789,207.9,8.9,residential,196030,9,30.3185,-97.6723,Tier 2 — Top 25%,True,1.0,,1.0,24.323419999999867,26,False,0.6608
190,88489e2217fffff,0.7966360856269113,207.8,10.6,residential,125607,9,30.3041,-97.6407,Tier 2 — Top 25%,True,1.0,,1.0,22.720411999999648,24,False,0.6601
191,88489e3ad7fffff,0.7951070336391437,207.7,20.5,industrial,48984,12,30.2305,-97.534,Tier 2 — Top 25%,True,1.0,,1.0,12.888287383798804,13,False,0.6592
