rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier,developable,developable_frac,exclusion_reasons,feature_completeness,boundary_dist_km,boundary_rings,edge_flagged,score_raw
185,8848e96b67fffff,0.8472775564409031,211.1,18.6,unknown,34356,12,33.2851,-112.0331,Tier 2 — Top 25%,True,1.0,,1.0,9.473331999999672,10,False,0.6439
186,8848e96137fffff,0.8472775564409031,211.0,20.5,unknown,34289,12,33.2997,-112.2048,Tier 2 — Top 25%,True,1.0,,1.0,11.09860399999984,12,False,0.6439
187,8848eba6cdfffff,0.8426294820717132,210.9,10.6,unknown,96953,12,33.3752,-112.0016,Tier 2 — Top 25%,True,1.0,,1.0,19.503263999999632,21,False,0.6438
188,8848e96897fffff,0.8426294820717132,210.8,10.7,unknown,94891,12,33.405,-112.1764,Tier 2 — Top 25%,True,1.0,,1.0,16.132633441561037,17,False,0.6438
189,8848eba303fffff,0.8393094289508632,211.2,37.0,unknown,63485,12,33.2894,-111.7234,Tier 2 — Top 25%,True,1.0,,1.0,6.830118155154172,7,False,0.6436
190,8848eba24bfffff,0.8393094289508632,211.3,33.7,unknown,114859,12,33.2472,-111.8025,Tier 2 — Top 25%,True,1.0,,1.0,5.254303999999618,5,False,0.6436
191,8848eba143fffff,0.8393094289508632,211.2,37.6,unknown,66035,12,33.3242,-111.6974,Tier 2 — Top 25%,True,1.0,,1.0,4.408970397341396,4,False,0.6436
192,8848e97897fffff,0.8353253652058433,211.1,25.2,unknown,34128,12,33.2405,-112.1822,Tier 2 — Top 25%,True,1.0,,1.0,4.5084599999993795,4,False,0.6434
194,8829b6ce83fffff,0.8353253652058433,210.1,42.9,unknown,33527,12,33.8259,-112.1721,Tier 2 — Top 25%,True,1.0,,1.0,2.6828120000004705,2,False,0.6434
196,8829b6cf25fffff,0.8353253652058433,210.2,39.0,unknown,33660,12,33.7947,-112.0072,Tier 2 — Top 25%,True,1.0,,1.0,6.155996000000286,6,False,0.6434
198,8848e96105fffff,0.8300132802124834,211.0,23.0,unknown,34202,12,33.2693,-112.1988,Tier 2 — Top 25%,True,1.0,,1.0,7.714475999999817,8,False,0.6429
199,8829b6cc43fffff,0.8300132802124834,210.1,40.6,unknown,33606,12,33.813,-112.0984,Tier 2 — Top 25%,True,1.0,,1.0,4.118839999999892,4,False,0.6429
200,8848e96027fffff,0.8300132802124834,211.0,25.4,unknown,34121,12,33.2769,-112.2547,Tier 2 — Top 25%,True,1.0,,1.0,8.560507999999427,9,False,0.6429
201,8848e96161fffff,0.8300132802124834,211.0,23.8,unknown,34176,12,33.2557,-112.1852,Tier 2 — Top 25%,True,1.0,,1.0,6.200523999999391,6,False,0.6429
202,8829b6cf55fffff,0.8300132802124834,210.2,36.0,unknown,33760,12,33.7721,-112.0575,Tier 2 — Top 25%,True,1.0,,1.0,8.671827999999959,9,False,0.6429
204,8848ebb1a9fffff,0.8253652058432935,211.4,40.9,unknown,37992,12,33.2272,-111.7224,Tier 2 — Top 25%,True,1.0,,1.0,3.0279040000000617,3,False,0.6425
205,8829b6cf09fffff,0.8253652058432935,210.2,36.3,unknown,33753,12,33.7736,-112.0469,Tier 2 — Top 25%,True,1.0,,1.0,8.504847999999953,9,False,0.6425
208,8829b6c485fffff,0.8207171314741036,210.0,44.4,unknown,33477,12,33.7994,-112.3036,Tier 2 — Top 25%,True,1.0,,1.0,4.292270957938998,4,False,0.642
209,8848ebb199fffff,0.8207171314741036,211.3,37.3,unknown,65729,12,33.2281,-111.7716,Tier 2 — Top 25%,True,1.0,,1.0,3.128091999999433,3,False,0.642
210,8848e961b3fffff,0.8207171314741036,210.8,20.9,unknown,34275,12,33.3459,-112.2629,Tier 2 — Top 25%,True,1.0,,1.0,8.099697637079778,8,False,0.642
211,8848ebacebfffff,0.8207171314741036,210.8,27.7,unknown,43951,12,33.5292,-111.7915,Tier 2 — Top 25%,True,1.0,,1.0,13.130753537216588,14,False,0.642
214,8848eba309fffff,0.8207171314741036,211.3,38.1,unknown,56190,12,33.2742,-111.7205,Tier 2 — Top 25%,True,1.0,,1.0,6.561405870041776,7,False,0.642
216,8848e96b53fffff,0.8154050464807437,211.1,18.3,unknown,34364,12,33.2844,-112.0928,Tier 2 — Top 25%,True,1.0,,1.0,9.39540799999946,10,False,0.6417
217,8848ebb0b3fffff,0.8154050464807437,211.3,32.5,unknown,122929,12,33.2443,-111.8237,Tier 2 — Top 25%,True,1.0,,1.0,4.931475999999976,5,False,0.6417
218,8829b6c5e9fffff,0.8154050464807437,210.1,40.1,unknown,33623,12,33.7881,-112.2193,Tier 2 — Top 25%,True,1.0,,1.0,6.8907080000001555,7,False,0.6417
