rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier
175,8829b6ced1fffff,0.6446,210.1,41.4,unknown,33580,12,33.8078,-112.1904,Tier 1 — Top 10%
176,8848eb3649fffff,0.6446,210.7,30.2,unknown,33959,12,33.5693,-111.7829,Tier 1 — Top 10%
177,8848e979d7fffff,0.6443,211.1,24.8,unknown,34143,12,33.2275,-112.1089,Tier 1 — Top 10%
178,8848ebb1b5fffff,0.6443,211.3,38.7,unknown,54401,12,33.2492,-111.7321,Tier 1 — Top 10%
179,8829b6ce53fffff,0.6443,210.2,36.1,unknown,33758,12,33.7669,-112.1495,Tier 1 — Top 10%
180,8848e979edfffff,0.6443,211.2,26.4,unknown,34088,12,33.2115,-112.0568,Tier 1 — Top 10%
181,8829b6ce67fffff,0.6439,210.2,35.5,unknown,33777,12,33.7676,-112.0894,Tier 1 — Top 10%
182,8848e96233fffff,0.6439,211.0,33.2,unknown,33857,12,33.2292,-112.3161,Tier 1 — Top 10%
183,8829b6cd4dfffff,0.6439,210.2,40.6,unknown,33605,12,33.8099,-112.0102,Tier 1 — Top 10%
184,8848ebb6c9fffff,0.6439,211.2,27.1,unknown,34063,12,33.2092,-112.0183,Tier 1 — Top 10%
185,8848e96b67fffff,0.6439,211.1,18.6,unknown,34356,12,33.2851,-112.0331,Tier 1 — Top 10%
186,8848e96137fffff,0.6439,211.0,20.5,unknown,34289,12,33.2997,-112.2048,Tier 1 — Top 10%
187,8848eba6cdfffff,0.6438,210.9,10.6,unknown,96953,12,33.3752,-112.0016,Tier 1 — Top 10%
188,8848e96897fffff,0.6438,210.8,10.7,unknown,94891,12,33.4050,-112.1764,Tier 1 — Top 10%
189,8848eba303fffff,0.6436,211.2,37.0,unknown,63485,12,33.2894,-111.7234,Tier 1 — Top 10%
190,8848eba24bfffff,0.6436,211.3,33.7,unknown,114859,12,33.2472,-111.8025,Tier 1 — Top 10%
191,8848eba143fffff,0.6436,211.2,37.6,unknown,66035,12,33.3242,-111.6974,Tier 1 — Top 10%
192,8848e97897fffff,0.6434,211.1,25.2,unknown,34128,12,33.2405,-112.1822,Tier 1 — Top 10%
193,8848eb2649fffff,0.6434,210.4,42.0,unknown,33559,12,33.7336,-111.7765,Tier 1 — Top 10%
